Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,test_textbox.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Keys,63,3,4,1.0733333333333333,0.1825951999926474,,,,,,,,,,,,4,3,63,13,,,,,38.60561110000708,,38.59230379998917,38.60561110000708,38.60561110000708,38.789838299999246,1.0733333333333333,0.1825951999926474,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,64,4,4,2.8933333333333335,0.6982234999886714,,,,,,,,,,,,4,4,64,14,,,,,38.805523999995785,,38.79228670001612,38.805523999995785,38.805523999995785,39.506210399995325,2.8933333333333335,0.6982234999886714,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,65,5,4,1.4333333333333333,0.4656076999963261,,,,,,,,,,,,4,5,65,0,,,,,39.52301269999589,,39.50812650000444,39.52301269999589,39.52301269999589,39.990829899994424,1.4333333333333333,0.4656076999963261,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Police,66,6,4,1,0.3789517999975942,,,,,,,,,,,,4,6,66,12,,,,,40.005824199994095,,39.995903600007296,40.005824199994095,40.005824199994095,40.389323700015666,1,0.3789517999975942,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,67,7,4,2.55,0.4165948000154458,,,,,,,,,,,,4,7,67,7,,,,,40.405273400014266,,40.39145130000543,40.405273400014266,40.405273400014266,40.82301150000421,2.55,0.4165948000154458,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,68,8,4,1.6366666666666667,0.4473831000213977,,,,,,,,,,,,4,8,68,5,,,,,40.839001200016355,,40.8267434000154,40.839001200016355,40.839001200016355,41.28946359999827,1.6366666666666667,0.4473831000213977,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,69,9,4,1,0.41705419999198057,,,,,,,,,,,,4,9,69,9,,,,,41.30603810001048,,41.29167520001647,41.30603810001048,41.30603810001048,41.72358479999821,1,0.41705419999198057,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,70,10,4,1.6266666666666667,0.3818095999886282,,,,,,,,,,,,4,10,70,6,,,,,41.73859620001167,,41.725732099992456,41.73859620001167,41.73859620001167,42.122867900005076,1.6266666666666667,0.3818095999886282,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,71,11,4,1.0966666666666667,0.4983308999799192,,,,,,,,,,,,4,11,71,10,,,,,42.13848110000254,,42.125502000009874,42.13848110000254,42.13848110000254,42.63959030000842,1.0966666666666667,0.4983308999799192,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,72,12,4,1.9833333333333334,0.48088709998410195,,,,,,,,,,,,4,12,72,1,,,,,42.65542630001437,,42.643474799988326,42.65542630001437,42.65542630001437,43.13957450000453,1.9833333333333334,0.48088709998410195,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,73,13,4,1.08,0.9996372000023257,,,,,,,,,,,,4,13,73,8,,,,,43.15532680001343,,43.1421965000045,43.15532680001343,43.15532680001343,44.15626089999569,1.08,0.9996372000023257,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,74,14,4,1.9866666666666666,0.5308674999978393,,,,,,,,,,,,4,14,74,4,,,,,44.172645699989516,,44.159420500014676,44.172645699989516,44.172645699989516,44.70602820001659,1.9866666666666666,0.5308674999978393,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Chart,75,0,5,1.0566666666666666,1.2493235000001732,,,,,,,,,,,,5,0,75,6,,,,,44.72186419999343,,44.708266400004504,44.72186419999343,44.72186419999343,45.97269399999641,1.0566666666666666,1.2493235000001732,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Keys,76,1,5,1.0566666666666666,0.28264609997859225,,,,,,,,,,,,5,1,76,13,,,,,45.988265299994964,,45.97492500001681,45.988265299994964,45.988265299994964,46.273779400013154,1.0566666666666666,0.28264609997859225,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Pastry,77,2,5,1.95,0.4311069000104908,,,,,,,,,,,,5,2,77,9,,,,,46.28851760001271,,46.27604590001283,46.28851760001271,46.28851760001271,46.72361700001056,1.95,0.4311069000104908,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Case,78,3,5,1,1.6136141000024509,,,,,,,,,,,,5,3,78,10,,,,,46.73938250000356,,46.72659500001464,46.73938250000356,46.73938250000356,48.355881199997384,1,1.6136141000024509,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
T-shirt,79,4,5,1,0.5978924999944866,,,,,,,,,,,,5,4,79,7,,,,,48.37211799999932,,48.35877210000763,48.37211799999932,48.37211799999932,48.97254280000925,1,0.5978924999944866,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Laptop,80,5,5,1,0.4145132999983616,,,,,,,,,,,,5,5,80,5,,,,,48.988155600003665,,48.9762095999904,48.988155600003665,48.988155600003665,49.405822000000626,1,0.4145132999983616,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
Poster,81,6,5,1,0.634822299994994,,,,,,,,,,,,5,6,81,14,,,,,49.421591499994975,,49.407807600015076,49.421591499994975,49.421591499994975,50.05665240000235,1,0.634822299994994,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
mouse,82,7,5,1,0.5993122000072617,,,,,,,,,,,,5,7,82,8,,,,,50.071936799999094,,50.06009549999726,50.071936799999094,50.071936799999094,50.673239299998386,1,0.5993122000072617,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
marble,83,8,5,1,0.38226460001897067,,,,,,,,,,,,5,8,83,3,,,,,50.68824630000745,,50.67632830000366,50.68824630000745,50.68824630000745,51.07389530001092,1,0.38226460001897067,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
board,84,9,5,1,0.5138183000090066,,,,,,,,,,,,5,9,84,4,,,,,51.08864890001132,,51.07864439999685,51.08864890001132,51.08864890001132,51.60603620001348,1,0.5138183000090066,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
book,85,10,5,1,0.4324322000029497,,,,,,,,,,,,5,10,85,0,,,,,51.621589299989864,,51.60861510000541,51.621589299989864,51.621589299989864,52.05683549999958,1,0.4324322000029497,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
phone,86,11,5,1,0.17983979999553412,,,,,,,,,,,,5,11,86,2,,,,,52.07221519999439,,52.060518100013724,52.07221519999439,52.07221519999439,52.25659540001652,1,0.17983979999553412,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
cushion,87,12,5,1,0.18266389999189414,,,,,,,,,,,,5,12,87,1,,,,,52.271995499992045,,52.260494099988136,52.271995499992045,52.271995499992045,52.456665300007444,1,0.18266389999189414,,,,,,,,,,,,,,,,,1,001,2025-10-16_09h42.12.223,priming_exp,,2025.1.1,60.014931709933705,2025-10-16 09h42.16.364635 +0530,
